1218,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,61,3,AD,PAC
1219,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,F,61,5,GD,WSC
1220,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,F,61,1,AD,MA
1221,SC,1,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,18,0,LT,ENC
1222,MM,25,D,PSE,OC,1,0,0,0,0,0,0,0,0,0,1,2,2,2,OT,F,61,5,BA,ENC
1223,MM,15,Y,SB,PSB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ED,M,30,3,GD,NE
1224,MM,25,MM,OC,PSB,0,0,0,0,1,0,0,0,0,0,1,2,1,1,BS,M,30,5,HS,MT
1225,MM,25,D,SB,SB,1,1,0,0,0,0,0,0,0,0,0,2,4,3,OT,M,61,3,AD,WSC
1226,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,O,0,5,OT,P
1227,SC,15,D,SB,PSB,1,1,1,1,0,0,0,0,0,0,0,3,3,3,ED,M,61,4,GD,MA
1228,MM,25,Y,OC,PSB,0,0,0,0,0,0,0,0,0,0,1,0,0,2,OT,F,61,2,GD,MA
1229,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CM,M,61,3,BA,MA
1230,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AD,O,0,5,OT,P
1231,MM,15,D,SB,SB,1,1,0,1,1,0,0,0,0,0,0,2,3,1,OT,M,61,1,BA,SA
1232,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,HC,M,61,3,AD,MA
1233,MM,25,W,OC,PSB,1,0,1,0,0,0,0,0,0,0,0,2,1,0,OT,F,61,4,BA,ENC
1234,MM,25,D,SB,SB,0,0,0,0,0,0,0,0,0,0,1,4,4,4,SA,M,61,1,AD,ENC
